Transaction ID,Timestamp,Operator,Barcode,Container ID,Product ID,Product Name,Transaction Type,Previous Status,New Status,Previous Location,New Location,Batch / Lot Number,Reason,Reference,Notes
T00000018,2026-05-01T09:00:00,LAB-USER,0000012,C000012,P000005,"Reagent A (Tris buffer, 500 mL)",Receive,(none),Available,(none),LOC0003,LOT0040,,PO-1008,Tris reagent received
T00000019,2026-05-15T09:30:00,LAB-USER,0000013,C000013,P000005,"Reagent A (Tris buffer, 500 mL)",Receive,(none),Available,(none),LOC0003,LOT0041,,PO-1009,Tris reagent 2 received
T00000020,2026-01-20T10:00:00,LAB-USER,0000014,C000014,P000005,"Reagent A (Tris buffer, 500 mL)",Receive,(none),Available,(none),LOC0003,LOT0042,,PO-1010,Tris reagent 3 received
T00000021,2026-07-02T08:00:00,LAB-USER,0000014,C000014,P000005,"Reagent A (Tris buffer, 500 mL)",MarkExpired,Available,Expired,LOC0003,LOC0003,LOT0042,Expired,,Tris reagent 3 expired
T00000022,2026-04-01T12:00:00,LAB-USER,0000015,C000015,P000006,Nitrile Gloves M (100/box),Receive,(none),Available,(none),LOC0004,LOT0050,,PO-1011,Gloves box 1 received
T00000023,2026-04-01T12:02:00,LAB-USER,0000016,C000016,P000006,Nitrile Gloves M (100/box),Receive,(none),Available,(none),LOC0004,LOT0050,,PO-1011,Gloves box 2 received
T00000024,2026-07-10T16:00:00,LAB-USER,0000017,C000017,P000006,Nitrile Gloves M (100/box),Receive,(none),Available,(none),LOC0004,LOT0051,,PO-1012,Gloves box 3 received
T00000025,2026-07-11T09:20:00,LAB-USER,0000017,C000017,P000006,Nitrile Gloves M (100/box),Dispose,Available,Disposed,LOC0004,(none),LOT0051,Used Up,,Gloves box 3 used up
T00000026,2026-08-10T10:10:00,LAB-USER,0000018,C000018,P000003,Ethanol 96% (500 mL),Receive,(none),Available,(none),LOC0001,LOT0022,,PO-1013,Ethanol D received
T00000027,2026-08-12T11:00:00,LAB-USER,0000019,C000019,P000002,Laboratory Tubes 15 mL (100/box),Receive,(none),Available,(none),LOC0004,LOT0012,,PO-1014,Tubes box 4 received
T00000028,2026-08-13T13:45:00,LAB-USER,0000019,C000019,P000002,Laboratory Tubes 15 mL (100/box),Transfer,Available,Available,LOC0004,LOC0005,LOT0012,,,Tubes box 4 transferred
T00000029,2026-08-14T09:00:00,LAB-USER,0000019,C000019,P000002,Laboratory Tubes 15 mL (100/box),Adjustment,Available,Reserved,LOC0005,LOC0005,LOT0012,Correction,,Tubes box 4 reserved
T00000030,2026-08-15T14:00:00,LAB-USER,0000020,C000020,P000001,Pipette Tips 200 uL (96/box),Receive,(none),Available,(none),LOC0004,LOT0003,,PO-1015,Tips box 4 received
T00000031,2026-08-16T10:00:00,LAB-USER,0000020,C000020,P000001,Pipette Tips 200 uL (96/box),MarkMissing,Available,Missing,LOC0004,(none),LOT0003,Missing,,Tips box 4 missing
