Sheet,Cell,Formula
Dashboard,B27,"=IF(INDEX(tblProducts[ProductID],6)="""","""",INDEX(tblProducts[ProductName],6))"
Dashboard,C27,"=IF(INDEX(tblProducts[ProductID],6)="""","""",INDEX(tblProducts[HelperAvailableStock],6))"
Dashboard,D27,"=IF(INDEX(tblProducts[ProductID],6)="""","""",INDEX(tblProducts[MinimumContainerStock],6))"
Dashboard,E27,"=IF(INDEX(tblProducts[ProductID],6)="""","""",INDEX(tblProducts[TargetContainerStock],6))"
Dashboard,F27,"=IF(INDEX(tblProducts[ProductID],6)="""","""",INDEX(tblProducts[HelperStockClass],6))"
Dashboard,C34,"=SUMPRODUCT((tblProducts[Category]=""Pipette Tips"")*tblProducts[HelperAvailableStock])"
Dashboard,C35,"=SUMPRODUCT((tblProducts[Category]=""Tubes"")*tblProducts[HelperAvailableStock])"
Dashboard,C36,"=SUMPRODUCT((tblProducts[Category]=""Solvent"")*tblProducts[HelperAvailableStock])"
Dashboard,C37,"=SUMPRODUCT((tblProducts[Category]=""Reagent"")*tblProducts[HelperAvailableStock])"
Dashboard,C38,"=SUMPRODUCT((tblProducts[Category]=""Consumable"")*tblProducts[HelperAvailableStock])"
Dashboard,C39,"=SUMPRODUCT((tblProducts[Category]=""General"")*tblProducts[HelperAvailableStock])"
Dashboard,B43,"=IF(INDEX(tblProducts[ProductID],1)="""","""",INDEX(tblProducts[ProductName],1))"
Dashboard,C43,"=IF(INDEX(tblProducts[ProductID],1)="""","""",COUNTIFS(tblTransactions[ProductID],INDEX(tblProducts[ProductID],1),tblTransactions[TransactionType],""TakeOpen""))"
Dashboard,B44,"=IF(INDEX(tblProducts[ProductID],2)="""","""",INDEX(tblProducts[ProductName],2))"
Dashboard,C44,"=IF(INDEX(tblProducts[ProductID],2)="""","""",COUNTIFS(tblTransactions[ProductID],INDEX(tblProducts[ProductID],2),tblTransactions[TransactionType],""TakeOpen""))"
Dashboard,B45,"=IF(INDEX(tblProducts[ProductID],3)="""","""",INDEX(tblProducts[ProductName],3))"
Dashboard,C45,"=IF(INDEX(tblProducts[ProductID],3)="""","""",COUNTIFS(tblTransactions[ProductID],INDEX(tblProducts[ProductID],3),tblTransactions[TransactionType],""TakeOpen""))"
Dashboard,B46,"=IF(INDEX(tblProducts[ProductID],4)="""","""",INDEX(tblProducts[ProductName],4))"
Dashboard,C46,"=IF(INDEX(tblProducts[ProductID],4)="""","""",COUNTIFS(tblTransactions[ProductID],INDEX(tblProducts[ProductID],4),tblTransactions[TransactionType],""TakeOpen""))"
Dashboard,B47,"=IF(INDEX(tblProducts[ProductID],5)="""","""",INDEX(tblProducts[ProductName],5))"
Dashboard,C47,"=IF(INDEX(tblProducts[ProductID],5)="""","""",COUNTIFS(tblTransactions[ProductID],INDEX(tblProducts[ProductID],5),tblTransactions[TransactionType],""TakeOpen""))"
Dashboard,B48,"=IF(INDEX(tblProducts[ProductID],6)="""","""",INDEX(tblProducts[ProductName],6))"
Dashboard,C48,"=IF(INDEX(tblProducts[ProductID],6)="""","""",COUNTIFS(tblTransactions[ProductID],INDEX(tblProducts[ProductID],6),tblTransactions[TransactionType],""TakeOpen""))"
Dashboard,B52,"=IF(INDEX(tblLocations[StorageLocationID],1)="""","""",INDEX(tblLocations[LocationName],1))"
Dashboard,C52,"=IF(INDEX(tblLocations[StorageLocationID],1)="""","""",COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],1),tblContainers[Status],""Available"")-COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],1),tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY()))"
Dashboard,B53,"=IF(INDEX(tblLocations[StorageLocationID],2)="""","""",INDEX(tblLocations[LocationName],2))"
Dashboard,C53,"=IF(INDEX(tblLocations[StorageLocationID],2)="""","""",COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],2),tblContainers[Status],""Available"")-COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],2),tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY()))"
Dashboard,B54,"=IF(INDEX(tblLocations[StorageLocationID],3)="""","""",INDEX(tblLocations[LocationName],3))"
Dashboard,C54,"=IF(INDEX(tblLocations[StorageLocationID],3)="""","""",COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],3),tblContainers[Status],""Available"")-COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],3),tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY()))"
Dashboard,B55,"=IF(INDEX(tblLocations[StorageLocationID],4)="""","""",INDEX(tblLocations[LocationName],4))"
Dashboard,C55,"=IF(INDEX(tblLocations[StorageLocationID],4)="""","""",COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],4),tblContainers[Status],""Available"")-COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],4),tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY()))"
Dashboard,B56,"=IF(INDEX(tblLocations[StorageLocationID],5)="""","""",INDEX(tblLocations[LocationName],5))"
Dashboard,C56,"=IF(INDEX(tblLocations[StorageLocationID],5)="""","""",COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],5),tblContainers[Status],""Available"")-COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],5),tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY()))"
Dashboard,B57,"=IF(INDEX(tblLocations[StorageLocationID],6)="""","""",INDEX(tblLocations[LocationName],6))"
Dashboard,C57,"=IF(INDEX(tblLocations[StorageLocationID],6)="""","""",COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],6),tblContainers[Status],""Available"")-COUNTIFS(tblContainers[StorageLocationID],INDEX(tblLocations[StorageLocationID],6),tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY()))"
Scan,D9,"=IF($D$7="""",""EMPTY"",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),""UNKNOWN"",IF(COUNTIF(tblContainers[Barcode],$D$7)>1,""DUPLICATE"",""FOUND"")))"
Scan,D13,"=IF($D$7="""","""",$D$7)"
Scan,E13,"=IF($D$7="""","""",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),"""",INDEX(tblContainers[ContainerID],MATCH($D$7,tblContainers[Barcode],0))))"
Scan,F13,"=IF($D$7="""","""",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),"""",INDEX(tblContainers[ProductID],MATCH($D$7,tblContainers[Barcode],0))))"
Scan,G13,"=IF($D13="""","""",IF(ISNA(MATCH($F13,tblProducts[ProductID],0)),"""",INDEX(tblProducts[ProductName],MATCH($F13,tblProducts[ProductID],0))))"
Scan,H13,"=IF($D$7="""","""",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),"""",INDEX(tblContainers[BatchLotNumber],MATCH($D$7,tblContainers[Barcode],0))))"
Scan,I13,"=IF($D$7="""","""",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),"""",INDEX(tblContainers[ExpiryDate],MATCH($D$7,tblContainers[Barcode],0))))"
Scan,J13,"=IF($D$7="""","""",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),"""",INDEX(tblContainers[StorageLocationID],MATCH($D$7,tblContainers[Barcode],0))))"
Scan,K13,"=IF($J13="""","""",IF(ISNA(MATCH($J13,tblLocations[StorageLocationID],0)),"""",INDEX(tblLocations[LocationName],MATCH($J13,tblLocations[StorageLocationID],0))))"
Scan,L13,"=IF($D$7="""","""",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),"""",INDEX(tblContainers[Status],MATCH($D$7,tblContainers[Barcode],0))))"
Scan,M13,"=IF($D$7="""","""",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),"""",INDEX(tblContainers[OpenedDate],MATCH($D$7,tblContainers[Barcode],0))))"
Scan,N13,"=IF($I13="""",""NoExpiry"",IF($I13<TODAY(),""Expired"",IF($I13<=TODAY()+ExpiryWarningDays30,""ExpiringSoon"",IF($I13<=TODAY()+ExpiryWarningDays60,""ExpiringSoon"",IF($I13<=TODAY()+ExpiryWarningDays90,""ExpiringSoon"",""Valid"")))))"
Scan,O13,"=IF($D$7="""","""",IF(COUNTIF(tblContainers[Barcode],$D$7)>1,""DUPLICATE"",""""))"
Scan,P13,"=IF($D$7="""",""EMPTY"",IF(ISNA(MATCH($D$7,tblContainers[Barcode],0)),""UNKNOWN"",IF(COUNTIF(tblContainers[Barcode],$D$7)>1,""DUPLICATE"",""FOUND"")))"
Scan,E16,"=IF($D13="""","""",$E13)"
Scan,E17,"=IF($D13="""","""",$D13)"
Scan,E18,"=IF($D13="""","""",$G13)"
Scan,E19,"=IF($D13="""","""",$H13)"
Scan,E20,"=IF($D13="""","""",$L13)"
Scan,E21,"=IF($D13="""","""",$K13)"
Scan,E22,"=IF($D13="""","""",$I13)"
Scan,E23,"=IF($D13="""","""",$N13)"
Scan,E24,"=IF($D13="""","""",IF($M13="""",""No"",""Yes""))"
Scan,E25,"=IF($D13="""","""",$O13)"
Scan,E28,"=IF($D13="""","""",IF(AND($L13=""Available"",$I13<>"""",$I13<TODAY()),""TakeOpen BLOCKED (expired by date) | Dispose | MarkExpired"",IF($L13=""Available"",""TakeOpen | Transfer | Dispose (confirm) | MarkExpired/Damaged/Missing (confirm)"",IF($L13=""InUse"",""Return | Dispose (confirm) | MarkExpired/Damaged/Missing (confirm)"",IF($L13=""Expired"",""Dispose | Transfer (relocation only)"",IF($L13=""Damaged"",""Dispose | Transfer (relocation only)"",IF($L13=""Disposed"",""None — terminal (Adjustment only)"",""Dispose (resolve) | Adjustment (found)"")))))))"
Scan,E29,"=IF($O13=""DUPLICATE"",""DUPLICATE BARCODE — resolve before action"",IF($P13=""UNKNOWN"",""UNKNOWN BARCODE — receive first"",IF($P13=""EMPTY"",""Scan a barcode"",IF(AND($L13=""Available"",$I13<>"""",$I13<TODAY()),""EXPIRED BY DATE — TakeOpen blocked; record MarkExpired or Dispose"",""None""))))"
Receiving,D8,"=IF($D$7="""","""",IF(COUNTIF(tblProducts[ProductID],$D$7)=1,INDEX(tblProducts[ProductName],MATCH($D$7,tblProducts[ProductID],0)),""UNKNOWN""))"
Receiving,D9,"=IF($D$7="""","""",TEXT(MAX(tblContainers[HelperContainerNum])+1,""C000000""))"
Receiving,D10,"=IF($D$7="""","""",TEXT(MAX(tblContainers[HelperBarcodeNum])+1,""0000000""))"
Receiving,D17,=DefaultStatusNewContainers
Receiving,D19,"=IF($D$7="""",""NOT READY — select product"",IF($D$12="""",""NOT READY — enter lot"",IF(AND($D$16>=1,$D$16<=999),""READY"",""NOT READY — quantity"")))"
Receiving,B32,"=IF($D$7="""","""",$D$7)"
Receiving,C32,"=IF($D$7="""","""",B8)"
Receiving,D32,"=IF($D$7="""","""",D9)"
Receiving,E32,"=IF($D$7="""","""",D10)"
Receiving,F32,"=IF($D$7="""","""",D12)"
Receiving,G32,"=IF($D$7="""","""",D13)"
Receiving,H32,"=IF($D$7="""","""",D14)"
Receiving,I32,"=IF($D$7="""","""",D15)"
Receiving,J32,"=IF($D$7="""","""",D17)"
Receiving,K32,"=IF($D$7="""","""",D16)"
Receiving,L32,"=IF($D$7="""","""",D19)"
Receiving,M32,"=IF($D$7="""","""",D19)"
Products,T5,"=COUNTIFS(tblContainers[ProductID],A5,tblContainers[Status],""Available"")-COUNTIFS(tblContainers[ProductID],A5,tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY())"
Products,U5,"=IF(T5=0,""OutOfStock"",IF(T5<O5,""Reorder"",IF(T5<P5,""Low"",""OK"")))"
Products,T6,"=COUNTIFS(tblContainers[ProductID],A6,tblContainers[Status],""Available"")-COUNTIFS(tblContainers[ProductID],A6,tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY())"
Products,U6,"=IF(T6=0,""OutOfStock"",IF(T6<O6,""Reorder"",IF(T6<P6,""Low"",""OK"")))"
Products,T7,"=COUNTIFS(tblContainers[ProductID],A7,tblContainers[Status],""Available"")-COUNTIFS(tblContainers[ProductID],A7,tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY())"
Products,U7,"=IF(T7=0,""OutOfStock"",IF(T7<O7,""Reorder"",IF(T7<P7,""Low"",""OK"")))"
Products,T8,"=COUNTIFS(tblContainers[ProductID],A8,tblContainers[Status],""Available"")-COUNTIFS(tblContainers[ProductID],A8,tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY())"
Products,U8,"=IF(T8=0,""OutOfStock"",IF(T8<O8,""Reorder"",IF(T8<P8,""Low"",""OK"")))"
Products,T9,"=COUNTIFS(tblContainers[ProductID],A9,tblContainers[Status],""Available"")-COUNTIFS(tblContainers[ProductID],A9,tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY())"
Products,U9,"=IF(T9=0,""OutOfStock"",IF(T9<O9,""Reorder"",IF(T9<P9,""Low"",""OK"")))"
Products,T10,"=COUNTIFS(tblContainers[ProductID],A10,tblContainers[Status],""Available"")-COUNTIFS(tblContainers[ProductID],A10,tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY())"
Products,U10,"=IF(T10=0,""OutOfStock"",IF(T10<O10,""Reorder"",IF(T10<P10,""Low"",""OK"")))"
Containers,N5,"=VALUE(SUBSTITUTE(A5,""C"",""""))"
Containers,O5,=VALUE(B5)
Containers,N6,"=VALUE(SUBSTITUTE(A6,""C"",""""))"
Containers,O6,=VALUE(B6)
Containers,N7,"=VALUE(SUBSTITUTE(A7,""C"",""""))"
Containers,O7,=VALUE(B7)
Containers,N8,"=VALUE(SUBSTITUTE(A8,""C"",""""))"
Containers,O8,=VALUE(B8)
Containers,N9,"=VALUE(SUBSTITUTE(A9,""C"",""""))"
Containers,O9,=VALUE(B9)
Containers,N10,"=VALUE(SUBSTITUTE(A10,""C"",""""))"
Containers,O10,=VALUE(B10)
Containers,N11,"=VALUE(SUBSTITUTE(A11,""C"",""""))"
Containers,O11,=VALUE(B11)
Containers,N12,"=VALUE(SUBSTITUTE(A12,""C"",""""))"
Containers,O12,=VALUE(B12)
Containers,N13,"=VALUE(SUBSTITUTE(A13,""C"",""""))"
Containers,O13,=VALUE(B13)
Containers,N14,"=VALUE(SUBSTITUTE(A14,""C"",""""))"
Containers,O14,=VALUE(B14)
Containers,N15,"=VALUE(SUBSTITUTE(A15,""C"",""""))"
Containers,O15,=VALUE(B15)
Containers,N16,"=VALUE(SUBSTITUTE(A16,""C"",""""))"
Containers,O16,=VALUE(B16)
Containers,N17,"=VALUE(SUBSTITUTE(A17,""C"",""""))"
Containers,O17,=VALUE(B17)
Containers,N18,"=VALUE(SUBSTITUTE(A18,""C"",""""))"
Containers,O18,=VALUE(B18)
Containers,N19,"=VALUE(SUBSTITUTE(A19,""C"",""""))"
Containers,O19,=VALUE(B19)
Containers,N20,"=VALUE(SUBSTITUTE(A20,""C"",""""))"
Containers,O20,=VALUE(B20)
Containers,N21,"=VALUE(SUBSTITUTE(A21,""C"",""""))"
Containers,O21,=VALUE(B21)
Containers,N22,"=VALUE(SUBSTITUTE(A22,""C"",""""))"
Containers,O22,=VALUE(B22)
Containers,N23,"=VALUE(SUBSTITUTE(A23,""C"",""""))"
Containers,O23,=VALUE(B23)
Containers,N24,"=VALUE(SUBSTITUTE(A24,""C"",""""))"
Containers,O24,=VALUE(B24)
Containers,N25,"=VALUE(SUBSTITUTE(A25,""C"",""""))"
Containers,O25,=VALUE(B25)
